,train_acc,train_auc,train_ll,test_acc,test_auc,test_ll,valid_acc,valid_auc,valid_ll,time
XGBoost 0.03_Silent_6_800_42_0.7,0.9998355359765051,0.9998354937313074,0.017987404048292903,0.9219735682819383,0.9219665628961297,0.21358225873570696,0.9251374594670803,0.9251597000455253,0.20063490459106004,338.0
XGBoost 0.03_Silent_6_800_42_0.85,0.999815956926089,0.9998159084688256,0.01915359689027854,0.9215506607929516,0.9215434765138346,0.21013035161305726,0.9289440293246863,0.9289664549205646,0.19214832302067705,316.0
XGBoost 0.03_Silent_6_800_42_1,0.9994909446891825,0.9994907856595144,0.024497593584913067,0.9211982378854625,0.921190830007438,0.20493497144017686,0.9299309178062879,0.9299563861016238,0.18503409523699488,289.0
XGBoost 0.03_Silent_6_1000_42_0.7,0.9999490944689182,0.9999490783175475,0.012371459921497041,0.9213744493392071,0.9213674550712974,0.2258037392438569,0.9241505709854786,0.9241715577530352,0.2108037306938984,424.0
XGBoost 0.03_Silent_6_1000_42_0.85,0.9999569260890847,0.9999569124225404,0.01297824211867542,0.9213744493392071,0.9213675444966785,0.22176807130482382,0.9285210771182857,0.9285436809220678,0.20301450875643076,397.0
XGBoost 0.03_Silent_6_1000_42_1,0.999870778267254,0.9998707372676209,0.016971788203362353,0.9209515418502202,0.9209443016199665,0.2155085319589834,0.929366981531087,0.9293913755853441,0.19497500854600722,356.0
XGBoost 0.03_Silent_8_100_42_0.7,0.9683602545276554,0.968354262328088,0.09505313896494862,0.9230660792951542,0.9230578555984382,0.1767844105673811,0.9290850133934865,0.9291147736594825,0.1667428063987855,52.0
XGBoost 0.03_Silent_8_100_42_0.85,0.9675614292706803,0.9675551587784517,0.09661638643529183,0.9233127753303965,0.9233038474336226,0.17562881830978452,0.9316227266318906,0.9316521332058902,0.16555973360304158,51.0
XGBoost 0.03_Silent_8_100_42_1,0.9636260401370533,0.963619002923075,0.10326350376994814,0.9226079295154185,0.9225987779842819,0.17590708370072616,0.9321866629070915,0.9322182170553114,0.16534270555284425,49.0
XGBoost 0.03_Silent_8_200_42_0.7,0.99328046989721,0.9932787403304997,0.049121277771825976,0.9220440528634362,0.9220366674268488,0.18514286190293253,0.9279571408430848,0.9279818904052127,0.17456305538252043,112.0
XGBoost 0.03_Silent_8_200_42_0.85,0.9927557513460598,0.992753865232144,0.05150566797304261,0.9232775330396475,0.9232694658586216,0.18253777496069065,0.929366981531087,0.9293960266956239,0.17105801005807794,107.0
XGBoost 0.03_Silent_8_200_42_1,0.9882643171806167,0.9882613363959473,0.060126551231712434,0.9233480176211454,0.9233397939527934,0.18063770760400635,0.9310587903566897,0.9310871226896105,0.16824728125245783,98.0
XGBoost 0.03_Silent_8_400_42_0.7,0.9998002936857563,0.9998002377748019,0.018309044384565487,0.9220088105726872,0.9220015704487986,0.20835587863162774,0.927534188636684,0.9275580430735746,0.19324444305872637,231.0
XGBoost 0.03_Silent_8_400_42_0.85,0.9998433675966716,0.9998433253522616,0.019102376289646103,0.9225726872246696,0.9225648435361864,0.20386344510638343,0.9272522204990836,0.9272803678145712,0.1890021580551845,218.0
XGBoost 0.03_Silent_8_400_42_1,0.999479197258933,0.9994790345020255,0.023688541948790224,0.9226784140969163,0.9226707828043498,0.1995674952955485,0.9283800930494854,0.9284060955145647,0.18209186880089787,199.0
XGBoost 0.03_Silent_8_800_42_0.7,0.9999647577092511,0.9999647490115712,0.006136599621875066,0.9215506607929516,0.921543834215359,0.2448073674046259,0.9255604116734809,0.9255835473771633,0.22269573623415964,459.0
XGBoost 0.03_Silent_8_800_42_0.85,0.9999647577092511,0.9999647490115712,0.006036396286871013,0.9211982378854625,0.921190606443985,0.23997973120757884,0.9257013957422812,0.9257286461166568,0.22225367284578162,437.0
XGBoost 0.03_Silent_8_800_42_1,0.9999647577092511,0.999964746527533,0.007531875655884539,0.9216563876651982,0.9216493263566169,0.23304670684347478,0.9273932045678839,0.9274183109997883,0.21170902067920577,399.0
XGBoost 0.03_Silent_8_1000_42_0.7,0.9999647577092511,0.9999647514956098,0.0044106427608501956,0.9209515418502202,0.9209447487468722,0.2571955433304155,0.92499647539828,0.9250203257494528,0.23447334189602875,573.0
XGBoost 0.03_Silent_8_1000_42_0.85,0.9999647577092511,0.999964746527533,0.004245137454458212,0.9215506607929516,0.9215431411686554,0.2528952542506885,0.9247145072606795,0.9247390727133115,0.2336315704559668,546.0
XGBoost 0.03_Silent_8_1000_42_1,0.9999647577092511,0.999964746527533,0.005295473726942242,0.9213744493392071,0.9213675892093691,0.24571278298294236,0.9278161567742845,0.9278400116651436,0.223739807228794,497.0
XGBoost 0.1_Silent_3_100_42_0.7,0.9250905531081742,0.9250791189955416,0.16957001198523544,0.9202819383259911,0.9202703720755615,0.17928277977673746,0.9269702523614831,0.9270137836646963,0.16980847526214085,20.0
XGBoost 0.1_Silent_3_100_42_0.85,0.9246872246696035,0.9246753794080453,0.16966296038724932,0.9195418502202644,0.9195299373720273,0.1791747351514685,0.9299309178062879,0.9299749905427425,0.16865077855374197,19.0
XGBoost 0.1_Silent_3_100_42_1,0.9235907978463045,0.9235783910817714,0.17118953762863864,0.9200352422907488,0.9200225246637188,0.17995582221588421,0.9285210771182857,0.9285697986951766,0.169791638409188,18.0
XGBoost 0.1_Silent_3_200_42_0.7,0.9329887420460108,0.9329791829349099,0.15532494321187956,0.9218325991189428,0.9218227321067562,0.17635894232695065,0.9309178062878894,0.9309534728369594,0.16590736714215631,40.0
XGBoost 0.1_Silent_3_200_42_0.85,0.9325775819872736,0.9325677061199172,0.15580821927003172,0.921726872246696,0.921716792838593,0.17615792589648357,0.9307768222190892,0.9308151718740285,0.16467986034409068,38.0
XGBoost 0.1_Silent_3_200_42_1,0.9304708761625061,0.9304604287543837,0.15897747169268003,0.9207753303964757,0.9207646808058395,0.1769077594125847,0.930635838150289,0.9306768709110976,0.16516755509024342,35.0
XGBoost 0.1_Silent_3_400_42_0.7,0.943424375917768,0.9434160188890782,0.13615733235734284,0.9223612334801762,0.9223520483897033,0.17602494586397638,0.930635838150289,0.9306675686905383,0.1658658707830042,80.0
XGBoost 0.1_Silent_3_400_42_0.85,0.9432246696035242,0.943216167238499,0.13661010913231095,0.9229251101321586,0.9229160592364852,0.1751271462620731,0.9300719018750881,0.9301064937291107,0.16415733426390047,76.0
XGBoost 0.1_Silent_3_400_42_1,0.9400137053352913,0.9400046213822542,0.14150733780093305,0.9220088105726872,0.9219990218254367,0.1759378904017387,0.9307768222190892,0.9308148140963147,0.1649120336680932,69.0
XGBoost 0.1_Silent_3_800_42_0.7,0.9579911894273128,0.9579845056219152,0.11017365615602495,0.9236299559471366,0.9236219111579107,0.1786682476023192,0.9290850133934865,0.9291122692154857,0.16755240393124113,161.0
